,date,fiscal_balance,velocity_supply_as_percent_gdp,supply_to_gdp_percent,consumer_approval,consumer_disapproval,consumer_ambivalent,money_supply_trend,approval_trend,value,value_trend
85,1995-04-01,1507662509.5523071,1.5973927436534467,160.39558815606637,8.1,51.43,40.48,2.0021634983889713,9.42758164967129,8.24256666666667,7.583214408726481
86,1995-07-01,1571466220.1669922,1.6476714185682555,160.3745241117036,9.52,45.24,45.24,1.9846225379459657,9.32294334062862,8.10893333333333,7.480269563964355
87,1995-10-01,1311948487.1238098,1.3668519576167608,160.72508968939715,8.1,50.0,41.9,1.9702309795280077,9.225229906259756,7.78816666666667,7.378034712049551
88,1996-01-01,1569628876.6564941,1.6163836178586668,160.4807302837014,9.52,51.9,38.57,1.9590713057363471,9.13483151656378,7.7532,7.276574073932753
89,1996-04-01,2407179531.995117,2.4254135859766035,159.44461188398878,10.95,49.52,39.52,1.9512077821897544,9.052104830372459,8.0671,7.175950890835976
90,1996-07-01,1169584343.832672,1.1796690101690959,160.79005515138982,8.1,44.76,47.14,1.9466857170701029,8.977370418194974,7.85106666666667,7.0762272677519125
91,1996-10-01,1195472867.243225,1.1982444017888885,160.98333181053673,9.52,50.95,39.52,1.9455308260059185,8.910910383577727,7.56936666666667,6.977464012262618
92,1997-01-01,1214472836.8315735,1.2085892680382113,161.0414800965703,8.1,44.29,47.62,1.9477487047865794,8.85296619105523,7.40193333333333,6.879720468992828
93,1997-04-01,1486820853.1489258,1.4634725132619377,160.74769209405397,8.1,50.0,41.9,1.9533244120525644,8.803736708062202,7.31596666666667,6.783054350043186
94,1997-07-01,302559216.9430847,0.2998316561195136,162.13984889659335,7.62,44.76,47.62,1.9622221637598887,8.763376467471149,6.98953333333333,6.687521561778712
95,1997-10-01,766139486.6768188,0.7542218402155833,161.823950005118,8.57,50.95,40.48,1.9743851408695796,8.731994156713881,6.50293333333333,6.593176028377894
96,1998-01-01,1859661956.6295776,1.795589016538838,160.51296446202937,5.24,44.29,50.48,1.9897354113657906,8.70965133873944,6.0453,6.500069512577755
97,1998-04-01,1780123818.2687988,1.699292992481961,160.39136751249748,7.62,46.67,45.71,2.0081739673588612,8.696361409355177,5.82133333333333,6.408251434080325
98,1998-07-01,1218599687.724823,1.1592619355495042,160.99851757780942,7.62,53.81,38.57,2.029580877682373,8.692088794791783,5.51783333333333,6.317768686115953
99,1998-10-01,1651818893.492981,1.5524661644671192,160.61250277176612,6.67,47.62,45.71,2.0538155560459774,8.696748392627203,4.81936666666667,6.228665450688925
100,1999-01-01,1847475317.1817932,1.715051917911985,160.3570831743311,7.14,51.43,41.43,2.080717144458486,8.710205258498558,4.45803333333333,6.140983013060891
101,1999-04-01,2527421679.623596,2.301160965211875,159.57584208743313,8.1,47.62,44.29,2.1101050112884643,8.732274540325248,4.89013333333333,6.054759576057617
102,1999-07-01,2547968512.708008,2.2847479556333603,159.4447745118315,7.62,43.81,48.57,2.141779362982284,8.762721661060658,5.49806666666667,5.970030074814609
103,1999-10-01,2617770073.7976074,2.3120870313704014,159.36237215797712,10.0,43.81,46.19,2.1755219681123092,8.801262750283882,5.52786666666667,5.886825992607194
104,2000-01-01,2493015099.5780945,2.1739034955703618,159.51003165135052,7.14,44.29,48.57,2.211096992080649,8.847565324237175,5.60936666666667,5.805175178440673
105,2000-04-01,2239417738.0776978,1.9330306598723226,159.83090295336504,9.52,50.48,40.0,2.248251940456599,8.901249213208825,5.31143333333333,5.725101667106159
106,2000-07-01,3074586645.304596,2.598180567727519,159.07129190009329,9.52,51.43,39.05,2.2867187085786576,8.961887734455386,5.3191,5.646625502437775
107,2000-10-01,3406987104.1177063,2.8207285787394154,158.66829438169688,8.1,54.76,37.14,2.3262147347047017,9.0290091081513,5.076,5.569762564536909
108,2001-01-01,3122307470.5171204,2.54748323719678,158.9108493375798,6.19,49.52,44.29,2.366444253646663,9.102098113148053,4.79163333333333,5.494524401759222
109,2001-04-01,3613932331.037079,2.8877672244449437,158.52017936455607,7.62,50.48,41.9,2.407099647478746,9.180597978619199,5.08573333333333,5.420918068290178
110,2001-07-01,2652243078.4644165,2.1032329696709615,159.4205187351842,9.05,45.71,45.24,2.4478628895609766,9.263912506961674,5.0589,5.34894596816485
111,2001-10-01,3725638257.040985,2.885913503856682,158.60892269394142,6.67,44.29,49.05,2.488407077772595,9.351408422617984,4.78173333333333,5.278605706617811
112,2002-01-01,4516263587.4888,3.406345474185674,157.84442792754365,8.57,55.71,35.71,2.5283980525025243,9.442417940777954,5.0208,5.209889949678945
113,2002-04-01,4177475368.1756897,3.093574472152048,158.07031472490263,8.1,46.19,45.71,2.5674960945968897,9.536241549212924,5.20033333333333,5.142786292961015
114,2002-07-01,4750549698.07132,3.432619453527534,157.66850597607086,9.05,53.33,37.62,2.6053576981162756,9.63215099578933,4.74976666666667,5.0772771406149015
115,2002-10-01,4269627708.298889,3.0339599744791967,158.08796827251186,8.57,46.67,44.76,2.6416374124081528,9.729392473502795,4.60606666666667,5.013339595458388
116,2003-01-01,3955138636.7704163,2.768249972932433,158.4804254594595,10.0,47.14,42.86,2.67598974765262,9.827189994168027,4.3091,4.950945361314465
117,2003-04-01,4995132495.506897,3.4055308035997345,157.77799467396176,9.05,47.14,43.81,2.7080711376923454,9.924748941193815,4.26623333333333,4.8900606586251
118,2003-07-01,5796000112.36908,3.83915386646298,157.12983868185933,12.86,48.57,38.57,2.7375419536103056,10.021259791166747,4.575,4.830646154436476
119,2003-10-01,4959177415.487427,3.2301173136517805,157.7413942585095,10.95,42.38,46.67,2.7640685611716793,10.11590199326124,4.95603333333333,4.772656907881715
120,2004-01-01,5288755498.178192,3.3694286550281083,157.66014671551375,8.57,47.62,43.81,2.7873254148989277,10.207847994787672,4.7673,4.71604233231716
121,2004-04-01,4393478522.873505,2.7632258537489474,158.40530624325552,9.05,48.57,42.38,2.806997181201888,10.296267400484602,5.0896,4.660746175298255
122,2004-07-01,5945598802.592285,3.631666626790148,157.47271262396265,10.0,48.57,41.43,2.8227808826373764,10.38033125245506,5.00876666666667,4.606706517611162
123,2004-10-01,5551577335.051819,3.3243624267582144,157.70289382983358,11.9,49.05,39.05,2.834388055025558,10.459216416941171,4.6634,4.553855792606239
124,2005-01-01,5652969184.552185,3.3145787070033537,157.73310722080575,12.86,44.76,42.38,2.84154690880306,10.532110063425407,4.6421,4.502120827109535
125,2005-04-01,4176041118.2763977,2.4279603407525725,158.8319989096914,11.9,47.14,40.95,2.8440044856455358,10.598214220840928,4.44126666666667,4.451422905218498
126,2005-07-01,5889490096.412628,3.3326694489515662,157.92064993264742,10.0,48.57,41.43,2.841528801045105,10.656750394967666,4.27896666666667,4.401677856318111
127,2005-10-01,5041052133.411072,2.810986660224106,158.42975511449916,15.71,45.24,39.05,2.8339109631808377,10.706964230384814,4.29323333333333,4.3527961686837
128,2006-01-01,5027697234.308105,2.757191451263751,158.5677776960829,11.9,50.0,38.1,2.820967258073169,10.748130199644663,4.1824,4.304683130066696
129,2006-04-01,5310555326.350586,2.858208796387633,158.4802641412588,11.9,46.67,41.43,2.8025411906658633,10.779556301626748,4.61033333333333,4.257238996689633
130,2006-07-01,4734685257.656799,2.514486415654852,158.89381789398243,15.24,48.1,36.67,2.778505471131872,10.80058875032547,4.62056666666667,4.21035919210673
131,2006-10-01,4617016210.849609,2.417674865562642,159.08748495241792,11.43,49.52,39.05,2.7487639353521587,10.810616634618462,4.5934,4.163934537416399
132,2007-01-01,4585543511.756287,2.367126376400867,159.19748871379744,12.38,50.0,37.62,2.713253388169294,10.809076528857107,4.8616,4.117851514342072
133,2007-04-01,3309617511.935547,1.6993822764741147,160.04967310674246,13.81,41.43,44.76,2.6719453576703494,10.795457033414792,5.20726666666667,4.071992562727755
134,2007-07-01,4675419444.168945,2.3555944219408036,159.39963163463457,10.95,44.76,44.29,2.624847748406352,10.769303223622519,5.1837,4.026236414024748
135,2007-10-01,4792604409.91803,2.376833648598326,159.28103726497667,10.48,50.95,38.57,2.5720063811082787,10.730220984815753,4.79253333333333,3.980458462375999
136,2008-01-01,3223880262.9154053,1.5922181866442948,160.2131686744516,11.43,46.19,42.38,2.5135064061123127,10.677881210510442,4.5203,3.9345311749345875
137,2008-04-01,5212898741.498108,2.5183404812396444,159.2330242891499,9.52,43.81,46.67,2.4494735773597984,10.612023840020253,4.90726666666667,3.888324543082861
138,2008-07-01,4745742056.06488,2.262450243430222,159.3974370600301,10.48,46.67,42.86,2.3800753734900706,10.532461711121352,4.78206666666667,3.841706576248768
139,2008-10-01,4586870489.3862915,2.1589214746966205,159.53067899473936,10.0,47.62,42.38,2.3055219521970525,10.439084202664958,4.15326666666667,3.794543840045985
140,2009-01-01,6159747839.568909,2.8330709026247125,158.72310609929093,11.9,45.71,42.38,2.2260669236732458,10.331860641332284,3.5365,3.7467020404944096
141,2009-04-01,4446575705.412598,2.0298930796026013,159.5707183313002,10.0,42.86,47.14,2.14200792861749,10.210843446020416,3.5833,3.6980466561077012
142,2009-07-01,4208378812.1121826,1.9017590199695351,159.86149069242884,10.48,44.29,45.24,2.0536870059355383,10.076170982641939,3.73153333333333,3.6484436196644787
143,2009-10-01,5292029939.379028,2.3491645856465215,159.38340263403313,8.1,50.95,40.95,1.9614907349152932,9.928070101415193,3.73873333333333,3.5977600515099066
144,2010-01-01,4054141550.390564,1.786486643062399,160.00336337646914,8.57,49.52,41.9,1.8658501363112265,9.766858328016177,4.05213333333333,3.5458650462643617
145,2010-04-01,3220226663.904236,1.4115117160890773,160.56871241582482,7.62,49.05,43.33,1.7672403164252477,9.592945679257332,3.8262,3.49263051484594
146,2010-07-01,2824263841.975586,1.231111393063642,160.91274379017958,11.43,49.52,39.05,1.6661798379240316,9.406836073252425,3.2896,3.4379320837435623
147,2010-10-01,1998569477.7559204,0.8693571351258542,161.44413433410364,8.1,49.05,42.86,1.5632298007855194,9.20912830332106,3.32976666666667,3.3816500535074985
148,2011-01-01,3159795705.182678,1.3586886334098986,160.94815995800315,9.05,49.52,41.43,1.4589926164200409,9.00051654418034,3.78193333333333,3.3236704184541166
149,2011-04-01,3412424445.501892,1.4523573628940885,160.75960141854242,7.14,49.52,43.33,1.3541104576642442,8.78179035826538,3.56053333333333,3.2638859496117285
150,2011-07-01,-350971151.1875,-0.15132082619206128,162.700927227202,7.62,48.1,44.29,1.2492633669987505,8.553834169314591,2.867,3.2021973429644106
151,2011-10-01,774856734.0205078,0.33288093164680144,162.4505127029521,5.71,51.9,42.38,1.1451670049931462,8.31762616964963,2.3345,3.1385144350807113
152,2012-01-01,1496200250.890625,0.6387863712839683,162.08189011869825,3.81,48.57,47.62,1.0425700206347044,8.074236626874194,2.2175,3.0727574882441884
153,2012-04-01,3787411896.923889,1.5887074540599229,160.83523395210594,9.52,48.57,41.9,0.9422510248499025,7.824825555009863,1.97436666666667,3.0048585472327267
154,2012-07-01,279223603.5634155,0.11819535088646829,162.42176347558964,7.14,56.19,36.67,0.8450151481805932,7.570639714381461,1.68266666666667,2.9347628699236648
155,2012-10-01,1235742785.2890625,0.5206189017365531,162.17512051046668,8.57,50.0,41.43,0.7516901632293218,7.313008903858357,1.79763333333333,2.8624304339317175
156,2013-01-01,2504262269.9345093,1.043997961957459,161.52078542292685,6.19,49.52,44.29,0.6631221521411346,7.053341508352403,2.07813333333333,2.787837521516762
157,2013-04-01,297324909.0548096,0.12463985535446824,162.5426624929394,7.62,54.29,38.1,0.580170699041823,6.793119263767392,2.01163333333333,2.710978385028571
158,2013-07-01,1826586715.0565796,0.7592101205891337,161.92149718164077,5.71,51.9,42.38,0.5037035870053803,6.533891200888746,2.6747,2.631866995185582
159,2013-10-01,289878868.78222656,0.120923031993262,162.62912562154742,3.33,51.9,44.76,0.4345909787761064,6.277266728996784,2.79466666666667,2.5505388745148556
160,2014-01-01,3220219607.5791016,1.3210230015336601,161.25132096589127,4.29,49.52,46.19,0.3736990601235668,6.024907819280517,2.83613333333333,2.4670530183103585
161,2014-04-01,2587794038.7265015,1.0552851193769892,161.34973951861693,5.24,49.05,45.71,0.3218831243613063,5.7785202474234465,2.7416,2.381493905496808
162,2014-07-01,1255078899.3389893,0.5122625156811392,162.0037788171429,6.67,51.43,41.9,0.27998007621299736,5.539843854026797,2.58696666666667,2.2939736018162247
163,2014-10-01,3164833114.6660156,1.2749412071712318,161.1729071103182,6.67,50.95,42.38,0.24880033286233671,5.310641780829814,2.11163333333333,2.2046339577845115
164,2015-01-01,1853498844.7977905,0.7456502804799526,161.69734774738657,4.76,47.14,48.1,0.22911909967587363,5.092688639980771,1.70653333333333,2.1136489038952684
